date_of_conception_y,sex,x,f,i,d,c,fi,fd,fc,id,ic,fi_lx,fi_lx_se,fi_lx_lower,fi_lx_upper,fi_hx,fi_hx_se,fi_hx_lower,fi_hx_upper,fd_lx,fd_lx_se,fd_lx_lower,fd_lx_upper,fd_hx,fd_hx_se,fd_hx_lower,fd_hx_upper,id_lx,id_lx_se,id_lx_lower,id_lx_upper,id_hx,id_hx_se,id_hx_lower,id_hx_upper,fdid_lx,fdid_lx_se,fdid_lx_lower,fdid_lx_upper,fdid_hx,fdid_hx_se,fdid_hx_lower,fdid_hx_upper,as.integer(date_of_conception_y)
1989.0,Male,0,2104654,0,0,0,0,0,0,0,0,1.0,0.0,1.0,1.0,0.0,NaN,NaN,NaN,1.0,0.0,1.0,1.0,0.0,NaN,NaN,NaN,1.0,0.0,1.0,1.0,NaN,NaN,NaN,NaN,1.0,0.0,1.0,1.0,0.0,NaN,NaN,NaN,1989
1989.0,Male,1,2104654,0,0,0,0,0,0,0,0,1.0,0.0,1.0,1.0,0.0,NaN,NaN,NaN,1.0,0.0,1.0,1.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.0,0.0,1.0,1.0,0.0,NaN,NaN,NaN,1989
1989.0,Male,2,2104654,0,0,0,0,0,0,0,0,1.0,0.0,1.0,1.0,0.0,NaN,NaN,NaN,1.0,0.0,1.0,1.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.0,0.0,1.0,1.0,0.0,NaN,NaN,NaN,1989
1989.0,Male,3,2104654,0,0,0,0,0,0,0,0,1.0,0.0,1.0,1.0,0.0,NaN,NaN,NaN,1.0,0.0,1.0,1.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.0,0.0,1.0,1.0,0.0,NaN,NaN,NaN,1989
1989.0,Male,4,2104654,0,0,0,0,0,0,0,0,1.0,0.0,1.0,1.0,0.0,NaN,NaN,NaN,1.0,0.0,1.0,1.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.0,0.0,1.0,1.0,0.0,NaN,NaN,NaN,1989
1989.0,Male,5,2104654,0,0,0,0,0,0,0,0,1.0,0.0,1.0,1.0,0.0,NaN,NaN,NaN,1.0,0.0,1.0,1.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.0,0.0,1.0,1.0,0.0,NaN,NaN,NaN,1989
1989.0,Male,6,2104654,0,0,0,0,0,0,0,0,1.0,0.0,1.0,1.0,0.0,NaN,NaN,NaN,1.0,0.0,1.0,1.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.0,0.0,1.0,1.0,0.0,NaN,NaN,NaN,1989
1989.0,Male,7,2104654,0,0,0,0,0,0,0,0,1.0,0.0,1.0,1.0,0.0,NaN,NaN,NaN,1.0,0.0,1.0,1.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.0,0.0,1.0,1.0,0.0,NaN,NaN,NaN,1989
1989.0,Male,8,2104654,0,0,0,0,0,0,0,0,1.0,0.0,1.0,1.0,0.0,NaN,NaN,NaN,1.0,0.0,1.0,1.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.0,0.0,1.0,1.0,0.0,NaN,NaN,NaN,1989
1989.0,Male,9,2104654,0,0,0,0,0,0,0,0,1.0,0.0,1.0,1.0,0.0,NaN,NaN,NaN,1.0,0.0,1.0,1.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.0,0.0,1.0,1.0,0.0,NaN,NaN,NaN,1989
1989.0,Male,10,2104654,0,0,0,0,0,0,0,0,1.0,0.0,1.0,1.0,0.0,NaN,NaN,NaN,1.0,0.0,1.0,1.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.0,0.0,1.0,1.0,0.0,NaN,NaN,NaN,1989
1989.0,Male,11,2104654,0,0,0,0,0,0,0,0,1.0,0.0,1.0,1.0,0.0,NaN,NaN,NaN,1.0,0.0,1.0,1.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.0,0.0,1.0,1.0,0.0,NaN,NaN,NaN,1989
1989.0,Male,12,2104654,0,0,0,0,0,0,0,0,1.0,0.0,1.0,1.0,0.0,NaN,NaN,NaN,1.0,0.0,1.0,1.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.0,0.0,1.0,1.0,0.0,NaN,NaN,NaN,1989
1989.0,Male,13,2104654,0,0,0,0,0,0,0,0,1.0,0.0,1.0,1.0,0.0,NaN,NaN,NaN,1.0,0.0,1.0,1.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.0,0.0,1.0,1.0,0.0,NaN,NaN,NaN,1989
1989.0,Male,14,2104654,0,0,0,0,0,0,0,0,1.0,0.0,1.0,1.0,0.0,NaN,NaN,NaN,1.0,0.0,1.0,1.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.0,0.0,1.0,1.0,0.0,NaN,NaN,NaN,1989
1989.0,Male,15,2104654,0,0,0,0,0,0,0,0,1.0,0.0,1.0,1.0,0.0,NaN,NaN,NaN,1.0,0.0,1.0,1.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.0,0.0,1.0,1.0,0.0,NaN,NaN,NaN,1989
1989.0,Male,16,2104654,0,0,0,0,0,0,0,0,1.0,0.0,1.0,1.0,0.0,NaN,NaN,NaN,1.0,0.0,1.0,1.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.0,0.0,1.0,1.0,0.0,NaN,NaN,NaN,1989
1989.0,Male,17,2104654,0,0,0,0,0,0,0,0,1.0,0.0,1.0,1.0,0.0,NaN,NaN,NaN,1.0,0.0,1.0,1.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.0,0.0,1.0,1.0,0.0,NaN,NaN,NaN,1989
1989.0,Male,18,2104654,0,0,0,0,0,0,0,0,1.0,0.0,1.0,1.0,0.0,NaN,NaN,NaN,1.0,0.0,1.0,1.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.0,0.0,1.0,1.0,0.0,NaN,NaN,NaN,1989
1989.0,Male,19,2104654,0,0,0,0,0,0,0,0,1.0,0.0,1.0,1.0,0.0,NaN,NaN,NaN,1.0,0.0,1.0,1.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.0,0.0,1.0,1.0,0.0,NaN,NaN,NaN,1989
1989.0,Male,20,2104654,0,0,0,0,0,0,0,0,1.0,0.0,1.0,1.0,0.0,NaN,NaN,NaN,1.0,0.0,1.0,1.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.0,0.0,1.0,1.0,0.0,NaN,NaN,NaN,1989
1989.0,Male,21,2104654,0,0,0,0,0,0,0,0,1.0,0.0,1.0,1.0,0.0,NaN,NaN,NaN,1.0,0.0,1.0,1.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.0,0.0,1.0,1.0,0.0,NaN,NaN,NaN,1989
1989.0,Male,22,2104654,0,0,0,0,0,0,0,0,1.0,0.0,1.0,1.0,0.0,NaN,NaN,NaN,1.0,0.0,1.0,1.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.0,0.0,1.0,1.0,0.0,NaN,NaN,NaN,1989
1989.0,Male,23,2104654,0,0,0,1481,890,0,967,0,1.0,0.0,1.0,1.0,7.03926278337964e-4,1.829151266254096e-5,6.680755722966254e-4,7.397769843793026e-4,1.0,0.0,1.0,1.0,4.229617875410665e-4,1.4177711013130105e-5,3.951739845721146e-4,4.507495905100184e-4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.0,0.0,1.0,1.0,8.827197274549365e-4,2.0484097690317145e-5,8.425716337261147e-4,9.228678211837582e-4,1989
1989.0,Male,24,2102283,514,1857,0,1977,784,0,893,0,0.9992963213905943,1.8278643580669402e-5,0.9993312265279295,0.9992595951325698,9.40848605466773e-4,2.116003407945439e-5,8.993757007594022e-4,9.823215101741438e-4,0.9995771276418832,1.4171716284859512e-5,0.9996040002975074,0.9995484318119239,3.7299745800329324e-4,1.3321337554162007e-5,3.468881161712348e-4,3.991067998353517e-4,NaN,NaN,NaN,NaN,13.229629629629633,NaN,NaN,NaN,0.9991176696977271,2.0466027936962406e-5,0.999156850790063,0.9990766687038455,7.978273595791734e-4,1.9482395680295994e-5,7.596425657132345e-4,8.360121534451122e-4,1989
